epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8344,1.41754,4.72728,1.80434,0.01444,0.60327,0.06764,0.05599,0.83136,3.98832,1.48722,7.53081e-05,7.53081e-05,7.53081e-05
2,44.2494,1.09159,3.92317,1.59399,0.435,0.27463,0.22739,0.19377,0.78684,2.92726,1.50748,0.00014948,0.00014948,0.00014948
3,64.7241,1.05282,3.02033,1.58121,0.48758,0.44202,0.39703,0.33317,0.81425,2.24903,1.51036,0.000222154,0.000222154,0.000222154
4,84.5171,0.99367,2.44695,1.50699,0.46107,0.57663,0.55188,0.4626,0.7727,1.70453,1.71637,0.000220258,0.000220258,0.000220258
5,105.172,0.92757,2.12711,1.47996,0.4987,0.65977,0.67007,0.5676,0.69876,1.42701,1.65124,0.000218011,0.000218011,0.000218011
6,124.793,0.9115,1.90738,1.50298,0.48794,0.80878,0.71905,0.62282,0.64027,1.25472,1.40759,0.000215763,0.000215763,0.000215763
7,143.851,0.86812,1.74908,1.45009,0.65607,0.69467,0.78182,0.68496,0.64281,1.1643,1.63351,0.000213516,0.000213516,0.000213516
8,163.337,0.86742,1.63724,1.48238,0.54625,0.85304,0.78607,0.68077,0.6281,1.05213,1.39007,0.000211269,0.000211269,0.000211269
9,184.632,0.84243,1.53447,1.4504,0.66427,0.80578,0.81483,0.7123,0.62465,0.99082,1.46365,0.000209022,0.000209022,0.000209022
10,205.711,0.83759,1.47906,1.42667,0.66569,0.86104,0.85076,0.74802,0.6175,0.96789,1.41904,0.000206774,0.000206774,0.000206774
11,226.104,0.81614,1.39857,1.4668,0.71743,0.86464,0.89074,0.77768,0.62444,0.88424,1.41587,0.000204527,0.000204527,0.000204527
12,244.889,0.80441,1.33135,1.43195,0.71745,0.84626,0.8852,0.7797,0.6157,0.90764,1.40783,0.00020228,0.00020228,0.00020228
13,265.035,0.80469,1.30544,1.41677,0.75295,0.84683,0.91098,0.81245,0.60216,0.82157,1.43057,0.000200032,0.000200032,0.000200032
14,284.692,0.78513,1.23504,1.40162,0.81671,0.82784,0.9057,0.80199,0.59241,0.79316,1.40543,0.000197785,0.000197785,0.000197785
15,302.38,0.77131,1.20305,1.42105,0.78923,0.89513,0.92901,0.82862,0.63616,0.77984,1.50459,0.000195538,0.000195538,0.000195538
16,321.739,0.78571,1.18075,1.42681,0.75448,0.92059,0.92457,0.8151,0.57761,0.74966,1.46756,0.00019329,0.00019329,0.00019329
17,341.198,0.77364,1.15649,1.39001,0.82765,0.86255,0.91371,0.81181,0.56934,0.73316,1.32592,0.000191043,0.000191043,0.000191043
18,359.467,0.77953,1.11931,1.44185,0.83751,0.88833,0.94344,0.83959,0.55342,0.66876,1.42278,0.000188796,0.000188796,0.000188796
