epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5465,1.13213,4.63908,1.78233,0.8374,0.08559,0.18348,0.15436,0.7158,3.40035,1.48946,7.53081e-05,7.53081e-05,7.53081e-05
2,44.6538,0.91618,2.82916,1.50435,0.54353,0.59341,0.62751,0.5518,0.63379,1.58618,1.43511,0.00014948,0.00014948,0.00014948
3,64.4036,0.8422,1.86626,1.48969,0.60266,0.74617,0.79114,0.69649,0.62293,1.14972,1.3869,0.000222154,0.000222154,0.000222154
4,84.6916,0.78748,1.45678,1.45749,0.76903,0.8804,0.93317,0.83644,0.56538,0.84846,1.47469,0.000220258,0.000220258,0.000220258
5,104.919,0.74491,1.26436,1.42845,0.8612,0.85184,0.94737,0.83982,0.57914,0.73144,1.46285,0.000218011,0.000218011,0.000218011
6,125.322,0.73405,1.12425,1.44489,0.82353,0.90594,0.94974,0.85208,0.54725,0.65644,1.35227,0.000215763,0.000215763,0.000215763
7,144.968,0.69774,1.0239,1.39083,0.85412,0.94909,0.9713,0.8619,0.54851,0.58519,1.42332,0.000213516,0.000213516,0.000213516
8,166.615,0.70018,0.95423,1.43073,0.84158,0.95986,0.96615,0.86821,0.53014,0.54651,1.38554,0.000211269,0.000211269,0.000211269
9,187.877,0.67109,0.89612,1.38038,0.90212,0.90611,0.9632,0.87801,0.53134,0.54125,1.33279,0.000209022,0.000209022,0.000209022
10,207.57,0.67243,0.86134,1.37471,0.8829,0.95616,0.97821,0.89112,0.49698,0.47027,1.29804,0.000206774,0.000206774,0.000206774
11,229.509,0.64298,0.80875,1.37112,0.89913,0.97336,0.97991,0.88648,0.52,0.47984,1.34649,0.000204527,0.000204527,0.000204527
12,250.283,0.64018,0.79139,1.3786,0.94189,0.91606,0.98339,0.89409,0.5108,0.48623,1.36903,0.00020228,0.00020228,0.00020228
13,270.689,0.63936,0.75296,1.36978,0.89251,0.96452,0.99022,0.89733,0.49757,0.46395,1.36798,0.000200032,0.000200032,0.000200032
14,293.052,0.6246,0.72349,1.3575,0.91806,0.97387,0.99357,0.9094,0.48812,0.42499,1.32137,0.000197785,0.000197785,0.000197785
15,314.601,0.61313,0.7188,1.35325,0.91484,0.98215,0.99417,0.90006,0.48496,0.42117,1.31902,0.000195538,0.000195538,0.000195538
16,335.188,0.6137,0.68963,1.35067,0.92817,0.95335,0.995,0.89874,0.47235,0.4424,1.74062,0.00019329,0.00019329,0.00019329
17,354.492,0.61,0.68416,1.34646,0.92508,0.99243,0.99333,0.90534,0.48466,0.43614,1.34313,0.000191043,0.000191043,0.000191043
18,374.25,0.61266,0.68652,1.35966,0.91355,0.969,0.98677,0.9005,0.46483,0.42731,1.28544,0.000188796,0.000188796,0.000188796
19,393.217,0.593,0.65342,1.33822,0.94903,0.96768,0.99417,0.91496,0.44038,0.39,1.24097,0.000186549,0.000186549,0.000186549
20,412.483,0.56789,0.63955,1.33996,0.90845,0.98584,0.995,0.91636,0.44297,0.40984,1.61916,0.000184301,0.000184301,0.000184301
21,431.727,0.58196,0.61379,1.32121,0.94227,0.9885,0.99413,0.92417,0.44708,0.39114,1.33043,0.000182054,0.000182054,0.000182054
22,452.011,0.58359,0.61608,1.33888,0.94313,0.99438,0.99375,0.92186,0.42295,0.381,1.27062,0.000179807,0.000179807,0.000179807
23,473.666,0.57133,0.60398,1.31563,0.93732,0.9759,0.99375,0.91278,0.47766,0.43996,1.43239,0.000177559,0.000177559,0.000177559
24,493.461,0.57785,0.61506,1.31587,0.94623,0.95941,0.99456,0.91118,0.46642,0.40535,1.35335,0.000175312,0.000175312,0.000175312
25,514.153,0.56699,0.5817,1.30412,0.94634,0.97981,0.98984,0.91428,0.437,0.40278,1.27981,0.000173065,0.000173065,0.000173065
26,536.016,0.57117,0.58861,1.32838,0.94397,0.97938,0.995,0.92094,0.43007,0.37955,1.27991,0.000170817,0.000170817,0.000170817
27,556.511,0.56263,0.57743,1.32823,0.95723,0.97148,0.99456,0.9223,0.4127,0.36482,1.27444,0.00016857,0.00016857,0.00016857
28,576.32,0.55156,0.57274,1.31177,0.94947,0.96709,0.99216,0.91938,0.44842,0.41043,1.71856,0.000166323,0.000166323,0.000166323
29,596.147,0.55459,0.5697,1.30641,0.94614,0.97397,0.9925,0.91684,0.41926,0.37283,1.28403,0.000164076,0.000164076,0.000164076
30,615.693,0.54012,0.54584,1.29807,0.95139,0.99231,0.995,0.92418,0.42641,0.36518,1.28546,0.000161828,0.000161828,0.000161828
31,635.833,0.55282,0.56419,1.33347,0.94607,0.98408,0.99401,0.92768,0.43216,0.4005,1.3166,0.000159581,0.000159581,0.000159581
32,657.393,0.55199,0.5389,1.30778,0.95396,0.9798,0.9921,0.91426,0.4608,0.44466,1.33122,0.000157334,0.000157334,0.000157334
33,676.514,0.56475,0.57132,1.2997,0.93767,0.96295,0.9917,0.92223,0.41841,0.35941,1.23394,0.000155086,0.000155086,0.000155086
34,695.609,0.53893,0.5405,1.29235,0.95618,0.96803,0.99375,0.93442,0.39959,0.36261,1.46453,0.000152839,0.000152839,0.000152839
35,715.044,0.53124,0.53249,1.28913,0.95084,0.96854,0.98661,0.92019,0.40629,0.35552,1.7563,0.000150592,0.000150592,0.000150592
36,734.119,0.54747,0.54238,1.3132,0.94286,0.9805,0.99331,0.92853,0.41265,0.33736,1.55607,0.000148344,0.000148344,0.000148344
37,753.902,0.54424,0.52991,1.2995,0.95547,0.97553,0.99331,0.92386,0.44474,0.37564,1.43129,0.000146097,0.000146097,0.000146097
38,774.526,0.52745,0.51581,1.28977,0.95195,0.97502,0.99287,0.92626,0.4264,0.36957,1.2408,0.00014385,0.00014385,0.00014385
39,793.788,0.53211,0.51195,1.29095,0.94827,0.98745,0.995,0.93376,0.39072,0.34617,1.51873,0.000141603,0.000141603,0.000141603
40,812.802,0.53233,0.53236,1.31945,0.94475,0.97591,0.995,0.93849,0.44205,0.36664,1.30208,0.000139355,0.000139355,0.000139355
41,832.802,0.52589,0.49756,1.30354,0.95471,0.97948,0.995,0.93285,0.39484,0.3386,1.24944,0.000137108,0.000137108,0.000137108
42,852.737,0.52453,0.50087,1.29389,0.94948,0.98153,0.99333,0.92755,0.40297,0.34656,1.49394,0.000134861,0.000134861,0.000134861
43,872.709,0.5096,0.49804,1.28675,0.95689,0.97934,0.9925,0.93735,0.3919,0.3356,1.56103,0.000132613,0.000132613,0.000132613
44,894.657,0.51987,0.49531,1.28491,0.95426,0.9872,0.995,0.93217,0.43102,0.35012,1.25497,0.000130366,0.000130366,0.000130366
45,915.651,0.52762,0.50451,1.29359,0.957,0.98687,0.995,0.93892,0.38464,0.34199,1.23762,0.000128119,0.000128119,0.000128119
46,935.106,0.50676,0.49321,1.28121,0.95344,0.98539,0.99369,0.93498,0.38795,0.33662,1.6542,0.000125871,0.000125871,0.000125871
47,955.25,0.50653,0.48138,1.28517,0.95357,0.98158,0.995,0.9259,0.42594,0.33634,1.44415,0.000123624,0.000123624,0.000123624
48,974.759,0.50435,0.48512,1.28171,0.95744,0.98441,0.99294,0.92671,0.39412,0.33176,1.53706,0.000121377,0.000121377,0.000121377
49,995.205,0.49753,0.48395,1.27447,0.96337,0.97707,0.99294,0.93575,0.40015,0.3313,1.45005,0.00011913,0.00011913,0.00011913
50,1017.25,0.5074,0.48169,1.26857,0.95141,0.99015,0.99413,0.93388,0.39327,0.34563,1.23458,0.000116882,0.000116882,0.000116882
51,1036.85,0.50886,0.46119,1.26649,0.94199,0.99703,0.99413,0.9344,0.38167,0.32324,1.24049,0.000114635,0.000114635,0.000114635
52,1056.95,0.49668,0.4677,1.26758,0.95715,0.9817,0.99456,0.92943,0.38597,0.3278,1.67832,0.000112388,0.000112388,0.000112388
53,1076,0.50479,0.46372,1.26992,0.95601,0.98693,0.995,0.93368,0.40234,0.3286,1.55064,0.00011014,0.00011014,0.00011014
54,1095.62,0.48985,0.45469,1.24492,0.95842,0.98173,0.99429,0.92141,0.40532,0.33427,1.55886,0.000107893,0.000107893,0.000107893
